player_id,player_name,es_toi_min,TNFI_SA_per60,P4_weighted,TNFI_SF_per60,P5_weighted,z_P5_weighted,z_P4_weighted,twoway_D_score,off_rank,def_rank,twoway_D_rank
8476429,Scott Mayfield,4889.37,19.3399,1.9125,16.8611,1.7133,-0.6746618309321876,-0.14602477425199942,-0.5286370566801881,265,164,234
8474207,Nick Holden,2164.48,20.8179,2.0891,18.7943,1.9081,0.18658560319992493,0.7622052737675543,-0.5756196705676294,139,268,235
8478454,Noah Juulsen,1803.3,18.0336,1.7954,15.9707,1.5636,-1.3365136835480873,-0.748254324779121,-0.5882593587689663,317,67,236
8477938,Haydn Fleury,2045.45,19.4774,1.838,15.9574,1.6112,-1.1260651318813089,-0.5291682543055483,-0.5968968775757606,308,109,237
8482803,Olen Zellweger,2038.82,20.3648,2.0017,18.7167,1.801,-0.2869236380503281,0.31271882871144396,-0.5996424667617721,202,234,238
8479026,Philippe Myers,1412.13,18.9501,1.8537,16.7831,1.6269,-1.0566524793357532,-0.4484252658915798,-0.6082272134441734,301,120,239
8477335,Kyle Burroughs,2677.47,20.0115,1.9987,17.6137,1.7954,-0.31168229118759544,0.29729023219921996,-0.6089725233868154,207,230,240
8481708,Zac Jones,1479.78,19.2596,1.9275,17.435,1.7098,-0.6901359891429804,-0.0688817916908827,-0.6212541974520976,270,180,241
8479983,Mario Ferraro,6469.6,19.8096,1.9342,17.0273,1.7128,-0.6768724249623005,-0.03442459281358405,-0.6424478321487165,267,187,242
8476988,Matt Benning,2466.28,20.8492,1.9988,17.4676,1.7845,-0.3598732410440644,0.2978045187496273,-0.6576777597936917,213,231,243
8476892,Colton Parayko,7085.57,19.6286,1.9522,17.8165,1.7209,-0.6410608016744662,0.05814698625975668,-0.6992077879342229,259,206,244
8481541,Samuel Bolduc,639.43,20.6433,2.0752,18.7666,1.8625,-0.015020572346400737,0.6907194432609189,-0.7057400156073197,159,260,245
8480160,Radim Simek,1010.23,20.9655,2.058,18.6492,1.8409,-0.1105182344472924,0.6022621565908362,-0.7127803910381285,176,254,246
8476875,Mike Matheson,6317.95,20.4655,1.9958,18.0628,1.7677,-0.43414920045586847,0.2823759222374045,-0.716525122693273,230,228,247
8479984,Cal Foote,1414.05,22.3189,2.2419,20.5368,2.0539,0.8311948223809424,1.548035122790133,-0.7168403004091906,63,320,248
