shooting_player_id,player_name,total_es_attempts,netfront_attempts,netfront_attempt_rate,nf_rate_ci_lo,nf_rate_ci_hi,netfront_goals,netfront_goal_rate,confirmed_netfront
8477953,Kasperi Kapanen,152,23,0.1513,0.103,0.2168,3,0.1304,False
8480009,Eeli Tolvanen,259,39,0.1506,0.1121,0.1992,9,0.2308,False
8480208,Drake Batherson,306,46,0.1503,0.1146,0.1947,9,0.1957,False
8475168,Matt Duchene,240,36,0.15,0.1104,0.2007,7,0.1944,False
8476918,Jimmy Vesey,108,16,0.1481,0.0933,0.2272,4,,False
8478483,Mitch Marner,272,40,0.1471,0.1099,0.1941,9,0.225,False
8475763,Kevin Hayes,177,26,0.1469,0.1023,0.2065,3,0.1154,False
8475692,Mats Zuccarello,226,33,0.146,0.1059,0.198,3,0.0909,False
8479393,Noah Gregor,165,24,0.1455,0.0997,0.2073,0,0.0,False
8475149,Marcus Johansson,213,31,0.1455,0.1045,0.1992,2,0.0645,False
8478438,Tommy Novak,208,30,0.1442,0.1029,0.1984,8,0.2667,False
8480798,Philipp Kurashev,146,21,0.1438,0.096,0.2099,5,0.2381,False
8482077,Dylan Holloway,265,38,0.1434,0.1063,0.1907,5,0.1316,False
8481013,Jonatan Berggren,126,18,0.1429,0.0923,0.2145,1,,False
8477987,Ryan Donato,294,42,0.1429,0.1075,0.1875,12,0.2857,False
8477444,Andre Burakovsky,197,28,0.1421,0.1002,0.1978,4,0.1429,False
8483445,Cutter Gauthier,320,45,0.1406,0.1068,0.183,7,0.1556,False
8477955,Jared McCann,271,38,0.1402,0.1039,0.1866,3,0.0789,False
8475225,Craig Smith,157,22,0.1401,0.0944,0.2031,6,0.2727,False
8484387,Matvei Michkov,216,30,0.1389,0.0991,0.1913,5,0.1667,False
8476374,Sean Kuraly,224,31,0.1384,0.0992,0.1897,5,0.1613,False
8476887,Filip Forsberg,463,64,0.1382,0.1098,0.1727,10,0.1562,False
8475760,Nick Bjugstad,271,37,0.1365,0.1007,0.1825,3,0.0811,False
8475784,Jeff Skinner,273,37,0.1355,0.1,0.1812,7,0.1892,False
8478856,Conor Garland,326,44,0.135,0.1021,0.1763,8,0.1818,False
8476539,Jonathan Marchessault,314,42,0.1338,0.1005,0.1759,8,0.1905,False
8477951,Nick Schmaltz,322,43,0.1335,0.1007,0.175,8,0.186,False
8480830,Andrei Svechnikov,316,42,0.1329,0.0999,0.1748,3,0.0714,False
8477919,Frederick Gaudreau,181,24,0.1326,0.0907,0.1897,5,0.2083,False
8478542,Evan Rodrigues,332,44,0.1325,0.1002,0.1732,9,0.2045,False
8477416,Oliver Bjorkstrand,280,37,0.1321,0.0974,0.1768,6,0.1622,False
8482116,Tim Stützle,296,39,0.1318,0.0979,0.175,4,0.1026,False
8473453,Trevor Lewis,137,18,0.1314,0.0847,0.1981,5,,False
8483431,Logan Cooley,260,34,0.1308,0.0951,0.1772,9,0.2647,False
8477960,Adrian Kempe,398,52,0.1307,0.101,0.1673,13,0.25,False
8480078,Filip Chytil,138,18,0.1304,0.0841,0.1968,3,,False
8475726,Tyler Toffoli,369,48,0.1301,0.0995,0.1683,7,0.1458,False
8484762,Beckett Sennecke,131,17,0.1298,0.0826,0.198,4,,False
8473419,Brad Marchand,273,35,0.1282,0.0936,0.1731,6,0.1714,False
8479066,Ryan Lomberg,156,20,0.1282,0.0845,0.1897,1,0.05,False
8475765,Vladimir Tarasenko,251,32,0.1275,0.0918,0.1744,3,0.0938,False
8483499,Liam Ohgren,102,13,0.1275,0.076,0.2059,2,,False
8483468,Jiri Kulich,110,14,0.1273,0.0773,0.2024,3,,False
8483493,Frank Nazar,150,19,0.1267,0.0826,0.1894,2,,False
8480074,Alexandre Texier,167,21,0.1257,0.0837,0.1846,5,0.2381,False
