shooting_player_id,total_es_attempts,rebound_attempts,rebound_attempt_rate,reb_rate_ci_lo,reb_rate_ci_hi,rebound_goals,rebound_sh_pct,confirmed_netfront,rank_by_rate,rank_by_goals
8480064,143,9,0.0629,0.0335,0.1153,1,,False,320,325
8479996,191,12,0.0628,0.0363,0.1066,1,0.0833,False,323,325
8476469,208,13,0.0625,0.0369,0.104,1,0.0769,False,324,325
8475168,240,15,0.0625,0.0382,0.1005,3,0.2,False,324,130
8476480,176,11,0.0625,0.0353,0.1084,3,0.2727,False,324,130
8478864,320,20,0.0625,0.0408,0.0946,2,0.1,False,324,215
8479318,467,29,0.0621,0.0436,0.0878,2,0.069,False,328,215
8477949,339,21,0.0619,0.0409,0.0928,5,0.2381,False,329,42
8482713,194,12,0.0619,0.0357,0.105,0,0.0,False,329,485
8483489,97,6,0.0619,0.0287,0.1284,0,,False,329,485
8477942,358,22,0.0615,0.0409,0.0913,6,0.2727,False,332,23
8484911,114,7,0.0614,0.0301,0.1213,2,,False,333,215
8476897,98,6,0.0612,0.0284,0.1272,1,,False,334,325
8478445,263,16,0.0608,0.0378,0.0965,2,0.125,False,335,215
8479999,198,12,0.0606,0.035,0.1029,5,0.4167,False,336,42
8483808,149,9,0.0604,0.0321,0.1108,3,,False,337,130
8478402,434,26,0.0599,0.0412,0.0863,3,0.1154,False,338,130
8475235,67,4,0.0597,0.0235,0.1437,1,,False,339,325
8477425,218,13,0.0596,0.0352,0.0993,1,0.0769,False,340,325
8479323,202,12,0.0594,0.0343,0.101,2,0.1667,False,341,215
8483445,320,19,0.0594,0.0383,0.0909,2,0.1053,False,341,215
8480208,306,18,0.0588,0.0375,0.0911,6,0.3333,False,343,23
8479968,68,4,0.0588,0.0231,0.1417,0,,False,343,485
