player_id,games_played,toi_5v5_sec,cf_5v5,ca_5v5,cfpct_5v5
8476891,263,254715,4089,4219,0.49218
8476892,277,322936,4814,4954,0.49283
8476897,244,154022,2261,2350,0.49035
8476902,348,353120,5622,5686,0.49717
8476905,310,252861,4151,4382,0.48646
8476906,288,259662,4171,4050,0.50736
8476907,20,12079,204,177,0.53543
8476913,123,61957,980,1011,0.49221
8476915,52,34780,482,508,0.48687
8476917,238,253647,4232,4106,0.50756
8476918,219,143193,2303,2218,0.5094
8476919,88,46105,626,671,0.48265
8476921,327,255760,4421,3877,0.53278
8476923,271,278669,4679,4476,0.51109
8476925,283,195512,3054,3154,0.49195
8476927,252,177402,2747,2694,0.50487
8476931,297,312005,4919,4983,0.49677
8476934,125,76845,1192,1234,0.49134
8476941,1,960,8,13,0.38095
